feature_name;explanation
sellingprice_max_Çanta & Valiz;Selling price statistics grouped by businessunit
sellingprice_max_İç Giyim_x;Selling price statistics grouped by businessunit
sellingprice_count_Erkek;Selling price statistics grouped by product_gender
sellingprice_count_Kadın;Selling price statistics grouped by product_gender
sellingprice_count_Unisex;Selling price statistics grouped by product_gender
sellingprice_sum_Erkek;Selling price statistics grouped by product_gender
sellingprice_sum_Kadın;Selling price statistics grouped by product_gender
sellingprice_sum_Unisex;Selling price statistics grouped by product_gender
sellingprice_mean_Erkek;Selling price statistics grouped by product_gender
sellingprice_mean_Kadın;Selling price statistics grouped by product_gender
sellingprice_mean_Unisex;Selling price statistics grouped by product_gender
sellingprice_median_Erkek;Selling price statistics grouped by product_gender
sellingprice_median_Kadın;Selling price statistics grouped by product_gender
sellingprice_median_Unisex;Selling price statistics grouped by product_gender
sellingprice_min_Erkek;Selling price statistics grouped by product_gender
sellingprice_min_Kadın;Selling price statistics grouped by product_gender
sellingprice_min_Unisex;Selling price statistics grouped by product_gender
sellingprice_max_Erkek;Selling price statistics grouped by product_gender
sellingprice_max_Kadın;Selling price statistics grouped by product_gender
sellingprice_max_Unisex;Selling price statistics grouped by product_gender
sellingprice_count_1182.0;Selling price statistics grouped by category_id
sellingprice_count_1186.0;Selling price statistics grouped by category_id
sellingprice_count_407.0;Selling price statistics grouped by category_id
sellingprice_count_529.0;Selling price statistics grouped by category_id
sellingprice_count_535.0;Selling price statistics grouped by category_id
sellingprice_count_563.0;Selling price statistics grouped by category_id
sellingprice_count_599.0;Selling price statistics grouped by category_id
sellingprice_count_601.0;Selling price statistics grouped by category_id
sellingprice_count_975.0;Selling price statistics grouped by category_id
sellingprice_count_other_category_id;Selling price statistics grouped by category_id
sellingprice_sum_1182.0;Selling price statistics grouped by category_id
sellingprice_sum_1186.0;Selling price statistics grouped by category_id
sellingprice_sum_407.0;Selling price statistics grouped by category_id
sellingprice_sum_529.0;Selling price statistics grouped by category_id
sellingprice_sum_535.0;Selling price statistics grouped by category_id
sellingprice_sum_563.0;Selling price statistics grouped by category_id
sellingprice_sum_599.0;Selling price statistics grouped by category_id
sellingprice_sum_601.0;Selling price statistics grouped by category_id
sellingprice_sum_975.0;Selling price statistics grouped by category_id
sellingprice_sum_other_category_id;Selling price statistics grouped by category_id
sellingprice_mean_1182.0;Selling price statistics grouped by category_id
sellingprice_mean_1186.0;Selling price statistics grouped by category_id
sellingprice_mean_407.0;Selling price statistics grouped by category_id
sellingprice_mean_529.0;Selling price statistics grouped by category_id
sellingprice_mean_535.0;Selling price statistics grouped by category_id
sellingprice_mean_563.0;Selling price statistics grouped by category_id
sellingprice_mean_599.0;Selling price statistics grouped by category_id
sellingprice_mean_601.0;Selling price statistics grouped by category_id
sellingprice_mean_975.0;Selling price statistics grouped by category_id
sellingprice_mean_other_category_id;Selling price statistics grouped by category_id
sellingprice_median_1182.0;Selling price statistics grouped by category_id
sellingprice_median_1186.0;Selling price statistics grouped by category_id
sellingprice_median_407.0;Selling price statistics grouped by category_id
sellingprice_median_529.0;Selling price statistics grouped by category_id
sellingprice_median_535.0;Selling price statistics grouped by category_id
sellingprice_median_563.0;Selling price statistics grouped by category_id
sellingprice_median_599.0;Selling price statistics grouped by category_id
sellingprice_median_601.0;Selling price statistics grouped by category_id
sellingprice_median_975.0;Selling price statistics grouped by category_id
sellingprice_median_other_category_id;Selling price statistics grouped by category_id
sellingprice_min_1182.0;Selling price statistics grouped by category_id
sellingprice_min_1186.0;Selling price statistics grouped by category_id
sellingprice_min_407.0;Selling price statistics grouped by category_id
sellingprice_min_529.0;Selling price statistics grouped by category_id
sellingprice_min_535.0;Selling price statistics grouped by category_id
sellingprice_min_563.0;Selling price statistics grouped by category_id
sellingprice_min_599.0;Selling price statistics grouped by category_id
sellingprice_min_601.0;Selling price statistics grouped by category_id
sellingprice_min_975.0;Selling price statistics grouped by category_id
sellingprice_min_other_category_id;Selling price statistics grouped by category_id
sellingprice_max_1182.0;Selling price statistics grouped by category_id
sellingprice_max_1186.0;Selling price statistics grouped by category_id
sellingprice_max_407.0;Selling price statistics grouped by category_id
sellingprice_max_529.0;Selling price statistics grouped by category_id
sellingprice_max_535.0;Selling price statistics grouped by category_id
sellingprice_max_563.0;Selling price statistics grouped by category_id
sellingprice_max_599.0;Selling price statistics grouped by category_id
sellingprice_max_601.0;Selling price statistics grouped by category_id
sellingprice_max_975.0;Selling price statistics grouped by category_id
sellingprice_max_other_category_id;Selling price statistics grouped by category_id
sellingprice_count_Aksesuar;Selling price statistics grouped by Level1_Category_Id
sellingprice_count_Anne & Bebek & Çocuk;Selling price statistics grouped by Level1_Category_Id
sellingprice_count_Ayakkabı;Selling price statistics grouped by Level1_Category_Id
sellingprice_count_Elektronik;Selling price statistics grouped by Level1_Category_Id
sellingprice_count_Ev & Mobilya;Selling price statistics grouped by Level1_Category_Id
sellingprice_count_Giyim;Selling price statistics grouped by Level1_Category_Id
sellingprice_count_Kozmetik & Kişisel Bakım;Selling price statistics grouped by Level1_Category_Id
sellingprice_count_Spor & Outdoor;Selling price statistics grouped by Level1_Category_Id
sellingprice_count_Süpermarket;Selling price statistics grouped by Level1_Category_Id
sellingprice_count_Yaşam;Selling price statistics grouped by Level1_Category_Id
sellingprice_sum_Aksesuar;Selling price statistics grouped by Level1_Category_Id
sellingprice_sum_Anne & Bebek & Çocuk;Selling price statistics grouped by Level1_Category_Id
sellingprice_sum_Ayakkabı;Selling price statistics grouped by Level1_Category_Id
sellingprice_sum_Elektronik;Selling price statistics grouped by Level1_Category_Id
sellingprice_sum_Ev & Mobilya;Selling price statistics grouped by Level1_Category_Id
sellingprice_sum_Giyim;Selling price statistics grouped by Level1_Category_Id
sellingprice_sum_Kozmetik & Kişisel Bakım;Selling price statistics grouped by Level1_Category_Id
sellingprice_sum_Spor & Outdoor;Selling price statistics grouped by Level1_Category_Id
sellingprice_sum_Süpermarket;Selling price statistics grouped by Level1_Category_Id
sellingprice_sum_Yaşam;Selling price statistics grouped by Level1_Category_Id
sellingprice_mean_Aksesuar;Selling price statistics grouped by Level1_Category_Id
sellingprice_mean_Anne & Bebek & Çocuk;Selling price statistics grouped by Level1_Category_Id
sellingprice_mean_Ayakkabı;Selling price statistics grouped by Level1_Category_Id
sellingprice_mean_Elektronik;Selling price statistics grouped by Level1_Category_Id
sellingprice_mean_Ev & Mobilya;Selling price statistics grouped by Level1_Category_Id
sellingprice_mean_Giyim;Selling price statistics grouped by Level1_Category_Id
sellingprice_mean_Kozmetik & Kişisel Bakım;Selling price statistics grouped by Level1_Category_Id
sellingprice_mean_Spor & Outdoor;Selling price statistics grouped by Level1_Category_Id
sellingprice_mean_Süpermarket;Selling price statistics grouped by Level1_Category_Id
sellingprice_mean_Yaşam;Selling price statistics grouped by Level1_Category_Id
sellingprice_median_Aksesuar;Selling price statistics grouped by Level1_Category_Id
sellingprice_median_Anne & Bebek & Çocuk;Selling price statistics grouped by Level1_Category_Id
sellingprice_median_Ayakkabı;Selling price statistics grouped by Level1_Category_Id
sellingprice_median_Elektronik;Selling price statistics grouped by Level1_Category_Id
sellingprice_median_Ev & Mobilya;Selling price statistics grouped by Level1_Category_Id
sellingprice_median_Giyim;Selling price statistics grouped by Level1_Category_Id
sellingprice_median_Kozmetik & Kişisel Bakım;Selling price statistics grouped by Level1_Category_Id
sellingprice_median_Spor & Outdoor;Selling price statistics grouped by Level1_Category_Id
sellingprice_median_Süpermarket;Selling price statistics grouped by Level1_Category_Id
sellingprice_median_Yaşam;Selling price statistics grouped by Level1_Category_Id
sellingprice_min_Aksesuar;Selling price statistics grouped by Level1_Category_Id
sellingprice_min_Anne & Bebek & Çocuk;Selling price statistics grouped by Level1_Category_Id
sellingprice_min_Ayakkabı;Selling price statistics grouped by Level1_Category_Id
sellingprice_min_Elektronik;Selling price statistics grouped by Level1_Category_Id
sellingprice_min_Ev & Mobilya;Selling price statistics grouped by Level1_Category_Id
sellingprice_min_Giyim;Selling price statistics grouped by Level1_Category_Id
sellingprice_min_Kozmetik & Kişisel Bakım;Selling price statistics grouped by Level1_Category_Id
sellingprice_min_Spor & Outdoor;Selling price statistics grouped by Level1_Category_Id
sellingprice_min_Süpermarket;Selling price statistics grouped by Level1_Category_Id
sellingprice_min_Yaşam;Selling price statistics grouped by Level1_Category_Id
sellingprice_max_Aksesuar;Selling price statistics grouped by Level1_Category_Id
sellingprice_max_Anne & Bebek & Çocuk;Selling price statistics grouped by Level1_Category_Id
sellingprice_max_Ayakkabı;Selling price statistics grouped by Level1_Category_Id
sellingprice_max_Elektronik;Selling price statistics grouped by Level1_Category_Id
sellingprice_max_Ev & Mobilya;Selling price statistics grouped by Level1_Category_Id
sellingprice_max_Giyim;Selling price statistics grouped by Level1_Category_Id
sellingprice_max_Kozmetik & Kişisel Bakım;Selling price statistics grouped by Level1_Category_Id
sellingprice_max_Spor & Outdoor;Selling price statistics grouped by Level1_Category_Id
sellingprice_max_Süpermarket;Selling price statistics grouped by Level1_Category_Id
sellingprice_max_Yaşam;Selling price statistics grouped by Level1_Category_Id
sellingprice_count_Alt Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Bot & Çizme;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Cilt Bakım_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Dış Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Elbise_x;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Elektrikli Ev Aletleri;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Ev Dekorasyon_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Ev Giyim_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Ev Tekstili;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Makyaj_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Mobilya;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Sağlık_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Sofra & Mutfak_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Spor Ayakkabı;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Spor Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Takı & Mücevher;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Telefon;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_other_2;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Çanta;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Üst Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_İç Giyim_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Alt Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Bot & Çizme;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Cilt Bakım_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Dış Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Elbise_x;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Elektrikli Ev Aletleri;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Ev Dekorasyon_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Ev Giyim_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Ev Tekstili;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Makyaj_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Mobilya;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Sağlık_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Sofra & Mutfak_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Spor Ayakkabı;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Spor Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Takı & Mücevher;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Telefon;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_other_2;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Çanta;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_Üst Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_sum_İç Giyim_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Alt Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Bot & Çizme;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Cilt Bakım_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Dış Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Elbise_x;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Elektrikli Ev Aletleri;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Ev Dekorasyon_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Ev Giyim_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Ev Tekstili;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Makyaj_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Mobilya;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Sağlık_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Sofra & Mutfak_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Spor Ayakkabı;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Spor Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Takı & Mücevher;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Telefon;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_other_2;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Çanta;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_Üst Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_mean_İç Giyim_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Alt Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Bot & Çizme;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Cilt Bakım_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Dış Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Elbise_x;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Elektrikli Ev Aletleri;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Ev Dekorasyon_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Ev Giyim_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Ev Tekstili;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Makyaj_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Mobilya;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Sağlık_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Sofra & Mutfak_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Spor Ayakkabı;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Spor Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Takı & Mücevher;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Telefon;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_other_2;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Çanta;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_Üst Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_median_İç Giyim_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Alt Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Bot & Çizme;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Cilt Bakım_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Dış Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Elbise_x;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Elektrikli Ev Aletleri;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Ev Dekorasyon_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Ev Giyim_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Ev Tekstili;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Makyaj_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Mobilya;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Sağlık_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Sofra & Mutfak_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Spor Ayakkabı;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Spor Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Takı & Mücevher;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Telefon;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_other_2;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Çanta;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_Üst Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_min_İç Giyim_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Alt Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Bot & Çizme;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Cilt Bakım_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Dış Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Elbise_x;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Elektrikli Ev Aletleri;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Ev Dekorasyon_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Ev Giyim_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Ev Tekstili;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Makyaj_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Mobilya;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Sağlık_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Sofra & Mutfak_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Spor Ayakkabı;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Spor Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Takı & Mücevher;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Telefon;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_other_2;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Çanta;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_Üst Giyim;Selling price statistics grouped by Level2_Category_Id
sellingprice_max_İç Giyim_y;Selling price statistics grouped by Level2_Category_Id
sellingprice_count_Alt-Üst Takım;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Bluz & Tunik;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Bot & Bootie;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Ceket & Yelek;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Cep Telefonu Aksesuar;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Elbise_y;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Etek;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Eşofman;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Gömlek;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Halı & Kilim & Paspas;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Jeans;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Kaban & Mont;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Kazak & Hırka;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Kolye;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Medikal Maske;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Mutfak Saklama ve Düzenleme;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Omuz Çantası;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Pantolon;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Pijama;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Pişirme;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Saat;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Salon & Oturma Odası;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Sneaker;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Sofra;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Sweatshirt;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Sütyen;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_T-Shirt;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Tablo;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Tayt;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Yapı Market;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Yatak Odası Tekstili;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_other_3;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Çizme;Selling price statistics grouped by Level3_Category_Id
sellingprice_count_Çorap;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Alt-Üst Takım;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Bluz & Tunik;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Bot & Bootie;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Ceket & Yelek;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Cep Telefonu Aksesuar;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Elbise_y;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Etek;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Eşofman;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Gömlek;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Halı & Kilim & Paspas;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Jeans;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Kaban & Mont;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Kazak & Hırka;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Kolye;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Medikal Maske;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Mutfak Saklama ve Düzenleme;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Omuz Çantası;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Pantolon;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Pijama;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Pişirme;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Saat;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Salon & Oturma Odası;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Sneaker;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Sofra;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Sweatshirt;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Sütyen;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_T-Shirt;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Tablo;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Tayt;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Yapı Market;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Yatak Odası Tekstili;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_other_3;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Çizme;Selling price statistics grouped by Level3_Category_Id
sellingprice_sum_Çorap;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Alt-Üst Takım;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Bluz & Tunik;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Bot & Bootie;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Ceket & Yelek;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Cep Telefonu Aksesuar;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Elbise_y;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Etek;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Eşofman;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Gömlek;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Halı & Kilim & Paspas;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Jeans;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Kaban & Mont;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Kazak & Hırka;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Kolye;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Medikal Maske;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Mutfak Saklama ve Düzenleme;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Omuz Çantası;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Pantolon;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Pijama;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Pişirme;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Saat;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Salon & Oturma Odası;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Sneaker;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Sofra;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Sweatshirt;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Sütyen;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_T-Shirt;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Tablo;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Tayt;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Yapı Market;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Yatak Odası Tekstili;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_other_3;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Çizme;Selling price statistics grouped by Level3_Category_Id
sellingprice_mean_Çorap;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Alt-Üst Takım;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Bluz & Tunik;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Bot & Bootie;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Ceket & Yelek;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Cep Telefonu Aksesuar;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Elbise_y;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Etek;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Eşofman;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Gömlek;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Halı & Kilim & Paspas;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Jeans;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Kaban & Mont;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Kazak & Hırka;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Kolye;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Medikal Maske;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Mutfak Saklama ve Düzenleme;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Omuz Çantası;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Pantolon;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Pijama;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Pişirme;Selling price statistics grouped by Level3_Category_Id
sellingprice_median_Saat;Selling price statistics grouped by Level3_Category_Id
